,p,alpha,Qvar,ILvar
361,0.1,2.26,1.6454186516841493e-18,8.117049390683364e-14
362,0.1,2.26,7.420140750050017e-19,1.8559375859953994e-14
363,0.1,2.26,2.3710603444993475e-18,4.877234249301916e-13
364,0.1,2.26,3.639128188250304e-19,1.8693691434762587e-14
365,0.1,2.26,7.642670222090273e-17,6.74783949857415e-11
366,0.1,2.26,6.068546188585005e-20,1.1350702440948088e-13
367,0.1,2.26,2.602898525300146e-17,1.9206088808347798e-13
368,0.1,2.26,5.28470388393771e-20,5.59784557570092e-14
369,0.1,2.26,1.8765463122611717e-16,5.657503514405166e-12
370,0.1,2.26,1.0877160244466327e-16,2.8999913038353655e-12
371,0.1,2.26,3.3566554053634116e-17,2.258352736867244e-11
372,0.1,2.26,5.829567205096309e-18,2.6615213646168613e-13
373,0.1,2.26,1.5060629520962102e-18,6.955394948585755e-13
374,0.1,2.26,2.3605665381773935e-17,9.078701238222756e-11
375,0.1,2.26,3.7248884035396835e-18,5.400909490275548e-12
376,0.1,2.26,3.38213698200564e-17,5.040653246352996e-13
377,0.1,2.26,1.61892568828996e-19,1.2997042909957113e-13
378,0.1,2.26,9.127361156169294e-18,5.253987887396741e-13
379,0.1,2.26,9.262802994556167e-17,3.1501738836606508e-12
380,0.1,2.26,9.734652881878647e-17,3.0489965833839187e-12
381,0.1,2.26,6.658272168878766e-05,0.29115564844579017
382,0.1,2.26,4.7413399816459316e-18,7.813783652915049e-12
383,0.1,2.26,6.071136250574115e-19,2.4162964745183165e-13
384,0.1,2.26,1.840322044507695e-20,4.7704373958746195e-15
385,0.1,2.26,3.855010762529741e-17,3.8612580102727385e-13
386,0.1,2.26,8.272957528999717e-17,8.565643717651806e-11
387,0.1,2.26,1.4532768384292256e-17,6.708828598623716e-13
388,0.1,2.26,4.067411070986243e-20,2.0352663100156278e-13
389,0.1,2.26,2.253539256342471e-17,1.1863572214896355e-12
390,0.1,2.36,3.151430628862118e-19,3.153429423830638e-14
391,0.1,2.36,1.6729064754403712e-19,2.6477213813014925e-14
392,0.1,2.36,3.5714238491387425e-19,3.356946071992211e-14
393,0.1,2.36,3.898921049860722e-20,1.242246043775677e-13
394,0.1,2.36,1.4738715215206593e-18,3.824535081491967e-12
395,0.1,2.36,7.028591639510542e-19,8.963342996783045e-14
396,0.1,2.36,3.479685257543585e-18,5.492297848438387e-13
397,0.1,2.36,5.466412459349503e-19,3.3812304269480215e-13
398,0.1,2.36,5.615467673310688e-18,6.124381323126329e-13
399,0.1,2.36,6.425376590850142e-17,2.2006599516880103e-12
400,0.1,2.36,2.453352270462986e-16,1.719873918904864e-10
401,0.1,2.36,1.5314178874159403e-16,5.162873607783901e-12
402,0.1,2.36,3.325502542006886e-20,1.2997203060026364e-14
403,0.1,2.36,3.487961713680932e-19,3.721858181870379e-14
404,0.1,2.36,5.3734861527521784e-17,2.6749732939176753e-12
405,0.1,2.36,5.362037037737536e-20,9.139772892620011e-15
406,0.1,2.36,1.3967608554541342e-16,4.475225342798343e-12
407,0.1,2.36,2.4564551341597543e-20,5.3307098398893734e-14
408,0.1,2.36,7.449489021020908e-19,4.804345567579464e-14
409,0.1,2.36,2.5978008583623953e-17,1.4800781746299831e-12
410,0.1,2.36,3.2727778408158892e-16,3.1012426843829893e-11
411,0.1,2.36,1.9337981413700257e-16,1.1481973359845053e-10
412,0.1,2.36,3.2007449635049075e-19,2.126195569853748e-13
413,0.1,2.36,3.047293703640175e-19,2.251530782839856e-14
414,0.1,2.36,1.8224847190615264e-16,4.195575492102847e-12
415,0.1,2.36,2.362360681847154e-19,2.5177884112687937e-14
416,0.1,2.36,1.777001783588038e-18,9.091068245033558e-14
417,0.1,2.36,1.148013782116495e-17,6.579955609815706e-13
418,0.1,2.36,6.387853390963118e-18,4.453125472930408e-13
419,0.1,2.36,3.5219470769224085e-17,1.575851261267498e-12
420,0.1,2.47,1.744376537864383e-18,4.143280381293458e-12
